name,salary_from,salary_to,salary_currency,area_name,published_at
Главный механик ТКРС,100000,130000,RUR,Нижневартовск,2022-11-22T07:24:26+0300
"Фрезеровщик, Оборонная промышленность",110000,,RUR,Казань,2022-11-22T09:37:18+0300
Инженер-механик,,115000,RUR,Санкт-Петербург,2022-11-22T09:08:13+0300
"Токарь, г. Липецк",105000,,RUR,Тамбов,2022-11-22T08:53:37+0300
"Фрезеровщик, Оборонная промышленность",110000,,RUR,Ульяновск,2022-11-22T09:37:18+0300
Аналитик по информационной безопасности,170000,,RUR,Москва,2022-11-22T10:02:17+0300
Токарь,120000,,RUR,Вятские Поляны,2022-11-22T09:01:29+0300
Сборщик электронных систем,35000,,RUR,Вологда,2022-11-22T07:19:03+0300
Взрывник 5 разряда УБВР ГТК,,,,Удачный,2022-11-22T10:17:36+0300
Токарь-универсал,107000,,RUR,Белгород,2022-11-22T09:48:56+0300
Токарь-револьверщик,155000,,RUR,Тюмень,2022-11-22T10:54:23+0300
Токарь,100000,100000,RUR,Арзамас,2022-11-22T09:14:11+0300
Консультант-аналитик 1С,,,,Домодедово,2022-11-22T11:41:23+0300
Механик нефтебазы,100000,,RUR,Нарьян-Мар,2022-11-22T11:10:32+0300
Токарь,110000,,RUR,Калуга,2022-11-22T09:04:03+0300
Фрезеровщик (в г. Арзамас),100000,110000,RUR,Рязань,2022-11-22T08:56:12+0300
Программист 1C,,,,Миасс,2022-11-22T07:34:25+0300
Токарь-револьверщик,155000,,RUR,Казань,2022-11-22T10:54:23+0300
Токарь,130000,,RUR,Заречный (Пензенская область),2022-11-22T08:56:18+0300
Системный администратор,,,,Астана,2022-11-22T06:35:24+0300
Токарь,100000,100000,RUR,Канаш,2022-11-22T09:14:11+0300
Руководитель направления мониторинга платформ и систем (контроль качества),,,,Москва,2022-11-22T09:08:10+0300
Middle/Senior Backend PHP программист,130000,160000,RUR,Тольятти,2022-11-22T09:38:46+0300
Токарь-карусельщик,80000,,RUR,Екатеринбург,2022-11-22T09:58:31+0300
Оператор листогибочного пресса с ЧПУ,45000,,RUR,Ижевск,2022-11-22T06:31:58+0300
Ведущий программист 1C,,,,Новосибирск,2022-11-22T06:39:32+0300
Проектный менеджер,40000,40000,RUR,Казань,2022-11-22T09:53:49+0300
Программист 1С (внутренняя автоматизация),120000,,RUR,Санкт-Петербург,2022-11-22T09:41:19+0300
Менеджер по описанию бизнес процессов,30000,50000,RUR,Улан-Удэ,2022-11-22T09:04:09+0300
Аналитик данных (Департамент по работе с проблемными активами),,,,Москва,2022-11-22T11:13:28+0300
Оператор ЧПУ,65000,,RUR,Менделеевск,2022-11-22T10:07:18+0300
Асессор-разработчик,,65000,RUR,Кемерово,2022-11-22T10:50:46+0300
Программист PHP,40000,150000,RUR,Ростов-на-Дону,2022-11-22T09:21:43+0300
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,15000,39000,RUR,Мурманск,2022-11-22T10:50:53+0300
Токарь,120000,,RUR,Сарапул,2022-11-22T08:58:28+0300
Токарь (5-6 разряд),55000,,RUR,Иркутск,2022-11-22T11:04:11+0300
Фрезеровщик,95000,,RUR,Павлово,2022-11-22T08:56:12+0300
Junior разработчик (поисковая выдача),,65000,RUR,Омск,2022-11-22T10:50:42+0300
Старший специалист Help desk,,275000,KZT,Алматы,2022-11-22T09:38:13+0300
Токарь 2-5 разряда,52000,80000,RUR,Ейск,2022-11-22T11:30:17+0300
Developer C++ (KES for Linux),,,,Москва,2022-11-22T11:41:04+0300
Специалист по мониторингу событий информационной безопасности,,,,Липецк,2022-11-22T10:54:23+0300
Токарь-универсал,130000,,RUR,Самара,2022-11-22T11:53:01+0300
Асессор-разработчик,,65000,RUR,Белгород,2022-11-22T10:50:48+0300
Токарь,100000,100000,RUR,Буинск,2022-11-22T09:14:11+0300
Токарь-универсал,130000,,RUR,Тула,2022-11-22T11:35:04+0300
Техник по обслуживанию разливного оборудования,35000,35000,RUR,Белгород,2022-11-22T11:06:15+0300
Токарь,120000,,RUR,Оренбург,2022-11-22T09:02:46+0300
Аналитик данных в клиентском опыте,,,,Москва,2022-11-22T09:14:02+0300
Токарь-универсал,130000,,RUR,Рязань,2022-11-22T11:35:04+0300
"Менеджер техподдержки (эксплуатация здания, Ашан, ТЦ Каширская Плаза)",,92500,RUR,Москва,2022-11-22T10:12:37+0300
Разработчик C#,,120000,RUR,Калининград,2022-11-22T11:31:20+0300
Специалист голосовой поддержки пользователей,33200,46400,RUR,Набережные Челны,2022-11-22T10:46:49+0300
Механик,35000,40000,RUR,Находка,2022-11-22T06:39:11+0300
Электромонтер по ремонту и обслуживанию электрооборудования 4разряда,,,,Удачный,2022-11-22T10:23:57+0300
Специалист голосовой поддержки пользователей,33200,46400,RUR,Волжский (Волгоградская область),2022-11-22T10:47:00+0300
Токарь,100000,100000,RUR,Саранск,2022-11-22T09:14:11+0300
Токарь,100000,100000,RUR,Самара,2022-11-22T09:14:11+0300
Токарь,40000,,RUR,Пенза,2022-11-22T11:37:58+0300
Токарь,100000,100000,RUR,Димитровград,2022-11-22T09:14:11+0300
Директор по IT и цифровой трансформации бизнеса (Воронеж),,,,Москва,2022-11-22T10:14:32+0300
Слесарь-автомеханик,,,,Кострома,2022-11-22T10:29:17+0300
Главный механик,60000,70000,RUR,Москва,2022-11-22T11:21:45+0300
Фрезеровщик на завод,108000,,RUR,Нижний Новгород,2022-11-22T09:49:19+0300
Токарь-универсал,130000,,RUR,Новосибирск,2022-11-22T11:53:01+0300
IOS developer (Удалённо),,,,Санкт-Петербург,2022-11-22T11:39:55+0300
Middle+/Senior Python Developer (relocation),,,,Москва,2022-11-22T11:55:46+0300
Junior разработчик (поисковая выдача),,65000,RUR,Ярославль,2022-11-22T10:50:43+0300
